Supernova,Redshift,Absolute,Radiated,Reference
"",,peak [mag],energy [erg],
SLSN-R,,,,
SN 2007bi,0.1289,-21.3,1− 2× 1051,Gal-Yam et al. 2009
SN 1999as,0.12,-21.4,,Hatano et al. 2001
SLSN-II,,,,
CSS100217,0.147,-23.0,1.3× 1052,Drake et al. 2011
SN 2008fz,0.133,-22.3,1.4× 1051,Drake et al. 2010
SN 2008am,0.2338,-22.3,2× 1051,Chatzopoulos et al. 2011
SN 2008es,0.205,-22.2,1.1× 1051,Gezari et al. 2009; Miller et al. 2009
SN 2006gy,0.019,-22.0,2.3− 2.5× 1051,Ofek et al. 2007; Smith et al. 2010
SN 2003ma,0.289,-21.5,4× 1051,Rest et al. 2011
SN 2006tf,0.074,-21.0,7× 1050,Smith et al. 2008
SLSN-I,,,,
SN 2005ap,0.2832,-22.7,1.2× 1051,Quimby et al. 2007; 2011
SCP 06F6,1.189,-22.5,1.7× 1051,Quimby et al. 2011
PS1-10ky,0.956,-22.5,0.9− 1.4× 1051,Chomiuk et al. 2011
PS1-10awh,0.908,-22.5,0.9− 1.4× 1051,Chomiuk et al. 2011
PTF09atu,0.501,-22.0,,Quimby et al. 2011
PTF09cnd,0.258,-22.0,1.2× 1051,Quimby et al. 2011
SN 2009jh,0.349,-22.0,,Quimby et al. 2011
SN 2006oz,0.376,-21.5,,Leloudas et al. 2012
SN 2010gx,0.230,-21.2,6× 1050,Quimby et al. 2011; Pastorello et al. 2010
